instrument,auction_date,settlement_date,leg,term_bucket,isin,amount_chf_mn,signed_chf_mn
Conf. Bonds,2012-05-09,2012-06-11,opening,29yr,CH0127181169,361.93,361.93
GMBF,2012-03-13,2012-06-14,closing,91d,CH0036179577,953.95,-953.95
GMBF,2012-06-12,2012-06-14,opening,91d,CH0036179700,761.3,761.3
GMBF,2012-03-20,2012-06-21,closing,91d,CH0036179585,791.35,-791.35
GMBF,2012-06-19,2012-06-21,opening,91d,CH0036179718,804.0,804.0
Conf. Bonds,2012-06-13,2012-06-27,opening,25yr,-,267.17,267.17
GMBF,2012-03-27,2012-06-28,closing,91d,CH0036179593,1135.9,-1135.9
GMBF,2012-06-26,2012-06-28,opening,91d,CH0036179726,790.7,790.7
GMBF,2012-04-03,2012-07-05,closing,91d,CH0036179601,521.15,-521.15
GMBF,2012-07-03,2012-07-05,opening,91d,CH0036179734,595.0,595.0
GMBF,2012-07-10,2012-07-12,opening,364d,CH0036179742,358.2,358.2
GMBF,2012-04-17,2012-07-19,closing,91d,CH0036179627,699.55,-699.55
GMBF,2012-07-17,2012-07-19,opening,91d,CH0036179759,475.55,475.55
Conf. Bonds,2012-07-11,2012-07-25,opening,11yr,CH0127181177,153.16,153.16
Conf. Bonds,2012-07-11,2012-07-25,opening,24yr,CH0127181193,422.774,422.774
GMBF,2012-04-24,2012-07-26,closing,91d,CH0036179635,922.5,-922.5
GMBF,2012-07-24,2012-07-26,opening,91d,CH0036179767,688.45,688.45
GMBF,2012-04-30,2012-08-02,closing,91d,CH0036179643,788.35,-788.35
GMBF,2012-07-31,2012-08-02,opening,91d,CH0036179775,661.15,661.15
GMBF,2012-05-08,2012-08-09,closing,91d,CH0036179650,1043.9,-1043.9
GMBF,2012-08-07,2012-08-09,opening,91d,CH0036179783,699.9,699.9
GMBF,2012-05-15,2012-08-16,closing,91d,CH0036179668,1344.9,-1344.9
GMBF,2012-08-14,2012-08-16,opening,91d,CH0036179791,789.1,789.1
GMBF,2012-02-21,2012-08-23,closing,182d,CH0036179544,2512.0,-2512.0
GMBF,2012-08-21,2012-08-23,opening,182d,CH0036179809,760.9,760.9
GMBF,2012-05-29,2012-08-30,closing,91d,CH0036179684,688.8,-688.8
GMBF,2012-08-28,2012-08-30,opening,91d,CH0036179817,952.3,952.3
GMBF,2012-06-05,2012-09-06,closing,91d,CH0036179692,755.6,-755.6
GMBF,2012-09-04,2012-09-06,opening,91d,CH0036179825,784.0,784.0
GMBF,2012-06-12,2012-09-13,closing,91d,CH0036179700,761.3,-761.3
GMBF,2012-09-11,2012-09-13,opening,91d,CH0036179833,931.05,931.05
GMBF,2012-06-19,2012-09-20,closing,91d,CH0036179718,804.0,-804.0
GMBF,2012-09-18,2012-09-20,opening,91d,CH0036179841,765.25,765.25
Conf. Bonds,2012-09-12,2012-09-26,opening,2yr,CH0012385586,656.0,656.0
Conf. Bonds,2012-09-12,2012-09-26,opening,11yr,CH0127181177,277.5,277.5
GMBF,2012-06-26,2012-09-27,closing,91d,CH0036179726,790.7,-790.7
GMBF,2012-09-25,2012-09-27,opening,91d,CH0036179858,747.75,747.75
GMBF,2012-07-03,2012-10-04,closing,91d,CH0036179734,595.0,-595.0
GMBF,2012-10-02,2012-10-04,opening,91d,CH0036179866,748.65,748.65
GMBF,2012-04-10,2012-10-11,closing,182d,CH0036179619,710.2,-710.2
GMBF,2012-10-09,2012-10-11,opening,182d,CH0036179867,817.9,817.9
GMBF,2012-07-17,2012-10-18,closing,91d,CH0036179759,475.55,-475.55
GMBF,2012-10-16,2012-10-18,opening,91d,CH0036179882,790.9,790.9
Conf. Bonds,2012-10-10,2012-10-24,opening,24yr,CH0127181193,329.79,329.79
GMBF,2012-07-24,2012-10-25,closing,91d,CH0036179767,688.45,-688.45
GMBF,2012-10-23,2012-10-25,opening,91d,CH0036179890,850.3,850.3
GMBF,2012-07-31,2012-11-01,closing,91d,CH0036179775,661.15,-661.15
GMBF,2012-10-30,2012-11-01,opening,91d,CH0036179908,790.95,790.95
GMBF,2012-08-07,2012-11-08,closing,91d,CH0036179783,699.9,-699.9
GMBF,2012-11-06,2012-11-08,opening,91d,CH0036179916,802.6,802.6
GMBF,2012-08-14,2012-11-15,closing,91d,CH0036179791,789.1,-789.1
GMBF,2012-11-13,2012-11-15,opening,91d,CH0036179924,694.5,694.5
GMBF,2012-05-22,2012-11-22,closing,182d,CH0036179676,732.7,-732.7
GMBF,2012-11-20,2012-11-22,opening,182d,CH0036179932,881.0,881.0
GMBF,2012-08-28,2012-11-29,closing,91d,CH0036179817,952.3,-952.3
GMBF,2012-11-27,2012-11-29,opening,91d,CH0036179940,974.55,974.55
GMBF,2012-09-04,2012-12-06,closing,91d,CH0036179825,784.0,-784.0
GMBF,2012-12-04,2012-12-06,opening,91d,CH0036179957,1174.65,1174.65
GMBF,2012-09-11,2012-12-13,closing,91d,CH0036179833,931.05,-931.05
GMBF,2012-12-11,2012-12-13,opening,91d,CH0036179965,799.55,799.55
GMBF,2012-09-18,2012-12-20,closing,91d,CH0036179841,765.25,-765.25
GMBF,2012-12-18,2012-12-20,opening,91d,CH0036179973,1047.7,1047.7
GMBF,2012-09-25,2012-12-27,closing,91d,CH0036179858,747.75,-747.75
GMBF,2012-12-24,2012-12-27,opening,91d,CH0036179981,1000.8,1000.8
GMBF,2012-10-02,2013-01-03,closing,91d,CH0036179866,748.65,-748.65
GMBF,2012-12-31,2013-01-03,opening,91d,CH0036179999,1037.45,1037.45
Conf. Bonds,2012-11-14,2013-01-07,opening,29yr,CH0127181169,836.4,836.4
Conf. Bonds,2012-12-12,2013-01-07,opening,24yr,CH0127181193,298.95,298.95
GMBF,2012-01-10,2013-01-10,closing,364d,CH0036179486,512.75,-512.75
GMBF,2013-01-08,2013-01-10,opening,364d,CH0036180005,1188.1,1188.1
GMBF,2012-10-16,2013-01-17,closing,91d,CH0036179882,790.9,-790.9
GMBF,2013-01-15,2013-01-17,opening,91d,CH0036180013,997.65,997.65
Conf. Bonds,2013-01-09,2013-01-23,opening,2yr,CH0012385586,230.0,230.0
Conf. Bonds,2013-01-09,2013-01-23,opening,11yr,CH0127181177,423.1,423.1
GMBF,2012-10-23,2013-01-24,closing,91d,CH0036179890,850.3,-850.3
GMBF,2013-01-22,2013-01-24,opening,91d,CH0036180021,978.95,978.95
GMBF,2012-10-30,2013-01-31,closing,91d,CH0036179908,790.95,-790.95
GMBF,2013-01-29,2013-01-31,opening,91d,CH0036180039,771.2,771.2
GMBF,2012-11-06,2013-02-07,closing,91d,CH0036179916,802.6,-802.6
GMBF,2013-02-05,2013-02-07,opening,91d,CH0036180047,938.8,938.8
GMBF,2012-11-13,2013-02-14,closing,91d,CH0036179924,694.5,-694.5
GMBF,2013-02-12,2013-02-14,opening,91d,CH0036180054,1239.0,1239.0
GMBF,2012-08-21,2013-02-21,closing,182d,CH0036179809,760.9,-760.9
GMBF,2013-02-19,2013-02-21,opening,182d,CH0036180062,813.75,813.75
Conf. Bonds,2013-02-13,2013-02-27,opening,11yr,CH0127181177,329.55,329.55
Conf. Bonds,2013-02-13,2013-02-27,opening,24yr,CH0127181193,142.5,142.5
GMBF,2012-11-27,2013-02-28,closing,91d,CH0036179940,974.55,-974.55
GMBF,2013-02-26,2013-02-28,opening,91d,CH0036180070,1159.15,1159.15
GMBF,2012-12-04,2013-03-07,closing,91d,CH0036179957,1174.65,-1174.65
GMBF,2013-03-05,2013-03-07,opening,91d,CH0036180088,854.7,854.7
GMBF,2012-12-11,2013-03-14,closing,91d,CH0036179965,799.55,-799.55
GMBF,2013-03-12,2013-03-14,opening,91d,CH0036180096,799.5,799.5
GMBF,2013-03-19,2013-03-21,opening,91d,CH0036180104,906.2,906.2
Conf. Bonds,2013-03-13,2013-03-27,opening,9yr,CH0127181011,317.3,317.3
Conf. Bonds,2013-03-13,2013-03-27,opening,29yr,CH0127181169,113.605,113.605
GMBF,2013-12-24,2013-03-27,closing,91d,CH0036180500,505.15,-505.15
GMBF,2013-03-26,2013-03-28,opening,91d,CH0036180112,1003.5,1003.5
GMBF,2012-12-31,2013-04-04,closing,91d,CH0036179999,1037.45,-1037.45
GMBF,2013-04-02,2013-04-04,opening,91d,CH0036180120,946.2,946.2
GMBF,2012-10-09,2013-04-11,closing,182d,CH0036179867,817.9,-817.9
GMBF,2013-04-09,2013-04-11,opening,182d,CH0036180138,972.05,972.05
GMBF,2013-01-15,2013-04-18,closing,91d,CH0036180013,997.65,-997.65
GMBF,2013-04-16,2013-04-18,opening,91d,CH0036180146,800.7,800.7
GMBF,2013-01-22,2013-04-25,closing,91d,CH0036180021,978.95,-978.95
GMBF,2013-04-23,2013-04-25,opening,91d,CH0036180153,753.95,753.95
Conf. Bonds,2013-04-10,2013-04-29,opening,8yr,CH0111999816,124.5,124.5
Conf. Bonds,2013-04-10,2013-04-29,opening,24yr,CH0127181193,569.375,569.375
GMBF,2013-01-29,2013-05-02,closing,91d,CH0036180039,771.2,-771.2
GMBF,2013-04-30,2013-05-02,opening,91d,CH0036180161,684.2,684.2
GMBF,2013-02-05,2013-05-10,closing,91d,CH0036180047,938.8,-938.8
GMBF,2013-05-07,2013-05-10,opening,91d,CH0036180179,854.3,854.3
GMBF,2013-02-12,2013-05-16,closing,91d,CH0036180054,1239.0,-1239.0
GMBF,2013-05-14,2013-05-16,opening,91d,CH0036180187,869.5,869.5
GMBF,2012-11-20,2013-05-23,closing,182d,CH0036179932,881.0,-881.0
GMBF,2013-05-21,2013-05-23,opening,182d,CH0036180195,924.05,924.05
GMBF,2013-02-26,2013-05-30,closing,91d,CH0036180070,1159.15,-1159.15
GMBF,2013-05-28,2013-05-30,opening,91d,CH0036180203,506.9,506.9
GMBF,2013-03-05,2013-06-06,closing,91d,CH0036180088,854.7,-854.7
GMBF,2013-06-04,2013-06-06,opening,91d,CH0036180211,756.85,756.85
Conf. Bonds,2013-05-08,2013-06-11,opening,11yr,CH0127181177,442.17,442.17
GMBF,2013-03-12,2013-06-13,closing,91d,CH0036180096,799.5,-799.5
GMBF,2013-06-11,2013-06-13,opening,91d,CH0036180229,847.2,847.2
GMBF,2013-03-19,2013-06-20,closing,91d,CH0036180104,906.2,-906.2
GMBF,2013-06-18,2013-06-20,opening,91d,CH0036180237,901.8,901.8
Conf. Bonds,2013-06-12,2013-06-26,opening,28yr,CH0127181169,194.045,194.045
GMBF,2013-03-26,2013-06-27,closing,91d,CH0036180112,1003.5,-1003.5
GMBF,2013-06-25,2013-06-27,opening,91d,CH0036180245,711.9,711.9
GMBF,2013-04-02,2013-07-04,closing,91d,CH0036180120,946.2,-946.2
GMBF,2013-07-02,2013-07-04,opening,91d,CH0036180252,540.05,540.05
GMBF,2012-07-10,2013-07-11,closing,364d,CH0036179742,358.2,-358.2
GMBF,2013-07-09,2013-07-11,opening,364d,CH0036180260,1054.5,1054.5
GMBF,2013-04-16,2013-07-18,closing,91d,CH0036180146,800.7,-800.7
GMBF,2013-07-16,2013-07-18,opening,91d,CH0036180278,538.2,538.2
Conf. Bonds,2013-07-10,2013-07-24,opening,12yr,-,539.93,539.93
GMBF,2013-04-23,2013-07-25,closing,91d,CH0036180153,753.95,-753.95
GMBF,2013-07-23,2013-07-25,opening,91d,CH0036180286,758.8,758.8
GMBF,2013-04-30,2013-08-02,closing,91d,CH0036180161,684.2,-684.2
GMBF,2013-07-30,2013-08-02,opening,91d,CH0036180294,818.9,818.9
GMBF,2013-05-07,2013-08-08,closing,91d,CH0036180179,854.3,-854.3
GMBF,2013-08-06,2013-08-08,opening,91d,CH0036180302,810.15,810.15
GMBF,2013-05-14,2013-08-15,closing,91d,CH0036180187,869.5,-869.5
GMBF,2013-08-13,2013-08-15,opening,91d,CH0036180310,689.4,689.4
GMBF,2013-02-19,2013-08-22,closing,182d,CH0036180062,813.75,-813.75
GMBF,2013-08-20,2013-08-22,opening,182d,CH0036180328,697.15,697.15
GMBF,2013-05-28,2013-08-29,closing,91d,CH0036180203,506.9,-506.9
GMBF,2013-08-27,2013-08-29,opening,91d,CH0036180336,681.15,681.15
GMBF,2013-06-04,2013-09-05,closing,91d,CH0036180211,756.85,-756.85
GMBF,2013-09-03,2013-09-05,opening,91d,CH0036180344,768.65,768.65
GMBF,2013-06-11,2013-09-12,closing,91d,CH0036180229,847.2,-847.2
GMBF,2013-09-10,2013-09-12,opening,91d,CH0036180351,622.1,622.1
GMBF,2013-06-18,2013-09-19,closing,91d,CH0036180237,901.8,-901.8
GMBF,2013-09-17,2013-09-19,opening,91d,CH0036180369,828.4,828.4
Conf. Bonds,2013-09-11,2013-09-25,opening,7yr,CH0111999816,281.89,281.89
Conf. Bonds,2013-09-11,2013-09-25,opening,22yr,CH0024524966,502.62,502.62
GMBF,2013-06-25,2013-09-26,closing,91d,CH0036180245,711.9,-711.9
GMBF,2013-09-24,2013-09-26,opening,91d,CH0036180377,582.4,582.4
GMBF,2013-07-02,2013-10-03,closing,91d,CH0036180252,540.05,-540.05
GMBF,2013-10-01,2013-10-03,opening,91d,CH0036180385,594.4,594.4
GMBF,2013-04-09,2013-10-10,closing,182d,CH0036180138,972.05,-972.05
GMBF,2013-10-08,2013-10-10,opening,182d,CH0036180393,631.45,631.45
GMBF,2013-07-16,2013-10-17,closing,91d,CH0036180278,538.2,-538.2
GMBF,2013-10-15,2013-10-17,opening,91d,CH0036180401,713.1,713.1
Conf. Bonds,2013-10-09,2013-10-23,opening,11yr,CH0184249990,222.8,222.8
Conf. Bonds,2013-10-09,2013-10-23,opening,28yr,CH0127181169,467.05,467.05
GMBF,2013-07-23,2013-10-24,closing,91d,CH0036180286,758.8,-758.8
GMBF,2013-10-22,2013-10-24,opening,91d,CH0036180419,772.6,772.6
GMBF,2013-07-30,2013-10-31,closing,91d,CH0036180294,818.9,-818.9
GMBF,2013-10-29,2013-10-31,opening,91d,CH0036180427,999.75,999.75
GMBF,2013-08-06,2013-11-07,closing,91d,CH0036180302,810.15,-810.15
GMBF,2013-11-05,2013-11-07,opening,91d,CH0036180435,631.7,631.7
GMBF,2013-08-13,2013-11-14,closing,91d,CH0036180310,689.4,-689.4
GMBF,2013-11-12,2013-11-14,opening,91d,CH0036180443,1064.1,1064.1
GMBF,2013-05-21,2013-11-21,closing,182d,CH0036180195,924.05,-924.05
GMBF,2013-11-19,2013-11-21,opening,182d,CH0036180450,783.2,783.2
GMBF,2013-08-27,2013-11-28,closing,91d,CH0036180336,681.15,-681.15
GMBF,2013-11-26,2013-11-28,opening,91d,CH0036180468,573.55,573.55
GMBF,2013-09-03,2013-12-05,closing,91d,CH0036180344,768.65,-768.65
GMBF,2013-12-03,2013-12-05,opening,91d,CH0036180476,744.45,744.45
GMBF,2013-09-10,2013-12-12,closing,91d,CH0036180351,622.1,-622.1
GMBF,2013-12-10,2013-12-12,opening,91d,CH0036180484,877.4,877.4
GMBF,2013-09-17,2013-12-19,closing,91d,CH0036180369,828.4,-828.4
GMBF,2013-12-17,2013-12-19,opening,91d,CH0036180492,545.9,545.9
GMBF,2013-09-24,2013-12-27,closing,91d,CH0036180377,582.4,-582.4
GMBF,2013-12-24,2013-12-27,opening,91d,CH0036180500,505.15,505.15
GMBF,2013-10-01,2014-01-03,closing,91d,CH0036180385,594.4,-594.4
GMBF,2013-12-31,2014-01-03,opening,91d,CH0036180518,704.55,704.55
Conf. Bonds,2013-12-11,2014-01-06,opening,10yr,CH0127181177,242.06,242.06
Conf. Bonds,2013-12-11,2014-01-06,opening,10yr,CH0127181177,242.06,242.06
Conf. Bonds,2013-12-11,2014-01-06,opening,23yr,CH0127181193,149.28,149.28
Conf. Bonds,2013-12-11,2014-01-06,opening,23yr,CH0127181193,149.28,149.28
GMBF,2013-01-08,2014-01-09,closing,364d,CH0036180005,1188.1,-1188.1
GMBF,2014-01-07,2014-01-09,opening,364d,CH0036180526,899.3,899.3
GMBF,2013-10-15,2014-01-16,closing,91d,CH0036180401,713.1,-713.1
GMBF,2014-01-14,2014-01-16,opening,91d,CH0036180534,655.5,655.5
Conf. Bonds,2014-01-08,2014-01-22,opening,11yr,CH0184249990,589.92,589.92
Conf. Bonds,2014-01-08,2014-01-22,opening,28yr,CH0127181169,76.51,76.51
GMBF,2013-10-22,2014-01-23,closing,91d,CH0036180419,772.6,-772.6
GMBF,2014-01-21,2014-01-23,opening,91d,CH0036180542,907.2,907.2
GMBF,2014-10-28,2014-01-29,closing,91d,CH0036180948,855.2,-855.2
GMBF,2013-10-29,2014-01-30,closing,91d,CH0036180427,999.75,-999.75
GMBF,2014-01-28,2014-01-30,opening,91d,CH0036180559,682.15,682.15
GMBF,2013-11-05,2014-02-06,closing,91d,CH0036180435,631.7,-631.7
GMBF,2014-02-04,2014-02-06,opening,91d,CH0036180567,787.9,787.9
GMBF,2013-11-12,2014-02-13,closing,91d,CH0036180443,1064.1,-1064.1
GMBF,2014-02-11,2014-02-13,opening,91d,CH0036180575,814.8,814.8
GMBF,2013-08-20,2014-02-20,closing,182d,CH0036180328,697.15,-697.15
GMBF,2014-02-18,2014-02-20,opening,182d,CH0036180583,847.0,847.0
Conf. Bonds,2014-02-12,2014-02-26,opening,7yr,CH0111999816,240.2,240.2
Conf. Bonds,2014-02-12,2014-02-26,opening,10yr,CH0127181177,141.615,141.615
Conf. Bonds,2014-02-12,2014-02-26,opening,34yr,CH0009755197,135.845,135.845
GMBF,2013-11-26,2014-02-27,closing,91d,CH0036180468,573.55,-573.55
GMBF,2014-02-25,2014-02-27,opening,91d,CH0036180591,568.1,568.1
GMBF,2013-12-03,2014-03-06,closing,91d,CH0036180476,744.45,-744.45
GMBF,2014-03-04,2014-03-06,opening,91d,CH0036180609,844.45,844.45
GMBF,2013-12-10,2014-03-13,closing,91d,CH0036180484,877.4,-877.4
GMBF,2014-03-11,2014-03-13,opening,91d,CH0036180617,635.05,635.05
GMBF,2013-12-17,2014-03-20,closing,91d,CH0036180492,545.9,-545.9
GMBF,2014-03-18,2014-03-20,opening,91d,CH0036180625,588.85,588.85
Conf. Bonds,2014-03-12,2014-03-26,opening,8yr,CH0127181011,346.43,346.43
Conf. Bonds,2014-03-12,2014-03-26,opening,17yr,CH0127181029,222.8,222.8
GMBF,2014-03-25,2014-03-27,opening,91d,CH0036180633,442.85,442.85
GMBF,2013-12-31,2014-04-03,closing,91d,CH0036180518,704.55,-704.55
GMBF,2014-04-01,2014-04-03,opening,91d,CH0036180641,402.25,402.25
GMBF,2013-10-08,2014-04-10,closing,182d,CH0036180393,631.45,-631.45
GMBF,2014-04-08,2014-04-10,opening,182d,CH0036180658,777.9,777.9
GMBF,2014-01-14,2014-04-17,closing,91d,CH0036180534,655.5,-655.5
GMBF,2014-04-15,2014-04-17,opening,91d,CH0036180666,881.25,881.25
Conf. Bonds,2014-04-09,2014-04-23,opening,10yr,CH0127181177,242.1,242.1
Conf. Bonds,2014-04-09,2014-04-23,opening,23yr,CH0127181193,342.1,342.1
GMBF,2014-01-21,2014-04-24,closing,91d,CH0036180542,907.2,-907.2
GMBF,2014-04-22,2014-04-24,opening,91d,CH0036180674,872.55,872.55
GMBF,2014-01-28,2014-05-02,closing,91d,CH0036180559,682.15,-682.15
GMBF,2014-04-29,2014-05-02,opening,91d,CH0036180682,794.5,794.5
GMBF,2014-02-04,2014-05-08,closing,91d,CH0036180567,787.9,-787.9
GMBF,2014-05-06,2014-05-08,opening,91d,CH0036180690,728.7,728.7
GMBF,2014-02-11,2014-05-15,closing,91d,CH0036180575,814.8,-814.8
GMBF,2014-05-13,2014-05-15,opening,91d,CH0036180708,765.45,765.45
GMBF,2013-11-19,2014-05-22,closing,182d,CH0036180450,783.2,-783.2
GMBF,2014-05-20,2014-05-22,opening,182d,CH0036180716,639.55,639.55
Conf. Bonds,2014-05-14,2014-05-28,opening,12yr,-,301.3,301.3
GMBF,2014-02-25,2014-05-30,closing,91d,CH0036180591,568.1,-568.1
GMBF,2014-05-27,2014-05-30,opening,91d,CH0036180724,720.6,720.6
GMBF,2014-03-04,2014-06-05,closing,91d,CH0036180609,844.45,-844.45
GMBF,2014-06-03,2014-06-05,opening,91d,CH0036180732,849.15,849.15
GMBF,2014-03-11,2014-06-12,closing,91d,CH0036180617,635.05,-635.05
GMBF,2014-06-10,2014-06-12,opening,91d,CH0036180740,782.25,782.25
GMBF,2014-03-18,2014-06-19,closing,91d,CH0036180625,588.85,-588.85
GMBF,2014-06-17,2014-06-19,opening,91d,CH0036180757,479.2,479.2
Conf. Bonds,2014-06-11,2014-06-25,opening,10yr,CH0127181177,137.0,137.0
Conf. Bonds,2014-06-11,2014-06-25,opening,50yr,-,564.65,564.65
GMBF,2014-03-25,2014-06-26,closing,91d,CH0036180633,442.85,-442.85
GMBF,2014-06-24,2014-06-26,opening,91d,CH0036180765,707.0,707.0
GMBF,2014-04-01,2014-07-03,closing,91d,CH0036180641,402.25,-402.25
GMBF,2014-07-01,2014-07-03,opening,91d,CH0036180773,391.0,391.0
GMBF,2013-07-09,2014-07-10,closing,364d,CH0036180260,1054.5,-1054.5
GMBF,2014-07-08,2014-07-10,opening,364d,CH0036180781,652.85,652.85
GMBF,2014-04-15,2014-07-17,closing,91d,CH0036180666,881.25,-881.25
GMBF,2014-07-15,2014-07-17,opening,91d,CH0036180799,548.9,548.9
Conf. Bonds,2014-07-09,2014-07-23,opening,11yr,CH0224396983,213.9,213.9
GMBF,2014-04-22,2014-07-24,closing,91d,CH0036180674,872.55,-872.55
GMBF,2014-07-22,2014-07-24,opening,91d,CH0036180807,673.7,673.7
GMBF,2017-04-25,2014-07-27,closing,91d,CH0036182241,429.0,-429.0
GMBF,2014-04-29,2014-07-31,closing,91d,CH0036180682,794.5,-794.5
GMBF,2014-07-29,2014-07-31,opening,91d,CH0036180815,678.7,678.7
GMBF,2014-05-06,2014-08-07,closing,91d,CH0036180690,728.7,-728.7
GMBF,2014-08-05,2014-08-07,opening,91d,CH0036180823,529.2,529.2
GMBF,2014-05-13,2014-08-14,closing,91d,CH0036180708,765.45,-765.45
GMBF,2014-08-12,2014-08-14,opening,91d,CH0036180831,604.7,604.7
GMBF,2014-02-18,2014-08-21,closing,182d,CH0036180583,847.0,-847.0
GMBF,2014-08-19,2014-08-21,opening,182d,CH0036180849,714.0,714.0
GMBF,2014-05-27,2014-08-28,closing,91d,CH0036180724,720.6,-720.6
GMBF,2014-08-26,2014-08-28,opening,91d,CH0036180856,671.1,671.1
GMBF,2014-06-03,2014-09-04,closing,91d,CH0036180732,849.15,-849.15
GMBF,2014-09-02,2014-09-04,opening,91d,CH0036180864,649.0,649.0
GMBF,2014-06-10,2014-09-11,closing,91d,CH0036180740,782.25,-782.25
GMBF,2014-09-09,2014-09-11,opening,91d,CH0036180872,788.5,788.5
GMBF,2014-06-17,2014-09-18,closing,91d,CH0036180757,479.2,-479.2
GMBF,2014-09-16,2014-09-18,opening,91d,CH0036180880,606.9,606.9
